Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
001;Flensburg – Schleswig;01;232158;232158;192866;192866;1134;1027;191732;191839;28366;30544;50822;47683;43290;30590;4484;7065;28824;29267;;;10370;15894;1544;1136;;;;;;1210;;;;;1451;1450;;;21465;20573;;;;;;;;;;53;;;;;;;;;646;329;;6045;;;;;470;
002;Nordfriesland – Dithmarschen Nord;01;186019;186019;153755;153755;1043;855;152712;152900;31169;26637;49866;45300;16627;18763;5749;7617;24472;24564;;;7919;9437;1485;1098;;;;;;1067;;;;;1172;1023;;;14253;12263;;;;;;;;;;48;;;;;;;;;;177;;4906;;;;;;
003;Steinburg – Dithmarschen Süd;01;175816;175816;146576;146576;1141;805;145435;145771;30733;25645;50928;42612;14468;16079;5647;7447;29693;29679;;;8709;9684;3120;1552;;;;;;1213;;;;;2137;1233;;;;4991;;;;;;;;;;45;;;;;;;;;;236;;5355;;;;;;
004;Rendsburg-Eckernförde;01;202737;202737;172519;172519;1152;873;171367;171646;36266;30418;56163;50231;20473;25226;8170;7956;26417;27498;;;8675;10887;1367;992;;;;;;1161;;;;;1327;974;;;11075;10500;;;;;;;;;;42;;;;;;;;;632;298;;5463;;;;;802;
005;Kiel;01;201504;201504;167205;167205;1025;901;166180;166304;36688;32088;34941;32842;43283;38149;4825;6567;17811;17883;;;15946;22779;777;575;;;;;2020;1457;;;;;2526;1927;;;7363;6343;;;;;;;;;;61;;;;;;;;;;185;;5448;;;;;;
006;Plön – Neumünster;01;173740;173740;143605;143605;1892;950;141713;142655;33977;27342;46370;40815;18852;19957;4693;6150;25249;25683;;;7623;9657;3022;1147;;;;;;992;;;;;1927;1123;;;;4530;;;;;;;;;;40;;;;;;;;;;177;;5042;;;;;;
007;Pinneberg;01;236765;236765;200312;200312;1213;1020;199099;199292;49714;40326;63231;57532;25395;28967;7674;10086;30417;31098;;;12683;15064;2190;1313;;;;;;1360;;;;;2422;2016;;;4617;3976;;;;;;;;;;47;;;;;;;;;756;385;;7122;;;;;;
008;Segeberg – Stormarn-Mitte;01;249213;249213;211550;211550;1501;1039;210049;210511;51437;40275;67881;61079;24800;28809;9417;10974;36071;36211;;;12636;14887;3262;1706;;;;;;1705;;;;;3352;2172;;;;4388;;;;;;;;;;56;;;;;;;;;1193;505;;7744;;;;;;
009;Ostholstein – Stormarn-Nord;01;181111;181111;150788;150788;1118;797;149670;149991;38071;29510;52022;46721;15636;19095;5422;7656;25929;26494;;;8232;8935;2636;1356;;;;;;1062;;;;;1722;1091;;;;3166;;;;;;;;;;42;;;;;;;;;;232;;4631;;;;;;
010;Herzogtum Lauenburg – Stormarn-Süd;01;245477;245477;208075;208075;1443;1072;206632;207003;48273;39860;67641;61515;29012;28853;7445;11091;35419;35560;;;12160;14253;3784;1770;;;;;;1364;;;;;2898;1974;;;;2732;;;;;;;;;;57;;;;;;;;;;309;;7665;;;;;;
011;Lübeck;01;178245;178245;142999;142999;1247;829;141752;142170;39809;30026;33695;32037;27477;25444;4028;5547;21972;22254;;;10175;14921;1960;1006;;;;;;1147;;;;;2350;1529;;;;2664;;;;;;;;;286;90;;;;;;;;;;198;;5307;;;;;;
01;Schleswig-Holstein;99;2262785;2262785;1890250;1890250;13909;10168;1876341;1880082;424503;352671;573560;518367;279313;279932;67554;88156;302274;306191;;;115128;146398;25147;13651;;;;;2020;13738;;;;;23284;16512;;;58773;76126;;;;;;;;;286;581;;;;;;;;;3227;3031;;64728;;;;;1272;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;212861;212861;171875;171875;2126;1455;169749;170420;34101;24693;35453;32209;5531;9494;4870;5613;60863;54975;;;21569;19558;4753;1977;;2310;;;;;;;;;;1050;;;;;;;;;;;;;664;183;;;;;;;;;1945;706;;17652;;;;;;
013;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;202444;202444;162889;162889;1663;1166;161226;161723;34654;23009;32839;29812;5747;7744;4422;4921;59416;56236;;;18094;17339;6054;1875;;2238;;;;;;;;;;997;;;;;;;;;;;;;;99;;;;;;;;;;461;;16992;;;;;;
